Date,MCP
21/8/2015,2555.23
22/8/2015,2699.1
23/8/2015,2243.35
24/8/2015,2814.85
25/8/2015,3005.52
26/8/2015,3499.74
27/8/2015,3280.31
28/8/2015,3624.25
29/8/2015,3499.87
30/8/2015,2999.97
31/8/2015,3494.16
1/9/2015,3450.11
2/9/2015,3234.95
3/9/2015,3576.8
4/9/2015,3744.49
5/9/2015,4096.82
6/9/2015,4249.99
7/9/2015,4469.63
8/9/2015,4597.4
9/9/2015,4622.97
10/9/2015,4996.56
11/9/2015,5113.02
12/9/2015,4499.31
13/9/2015,3505.03
14/9/2015,3785.5
15/9/2015,3430.31
16/9/2015,3636.12
17/9/2015,3399.97
18/9/2015,3255.74
19/9/2015,3198.2
20/9/2015,2782.93
21/9/2015,3156.59
22/9/2015,3144.1
23/9/2015,3309.18
24/9/2015,3506.02
25/9/2015,3299.55
26/9/2015,3097
27/9/2015,2891
28/9/2015,3184.1
29/9/2015,3439.38
30/9/2015,3749.43
1/10/2015,3192.16
2/10/2015,3024.11
3/10/2015,3399.69
4/10/2015,3027.36
5/10/2015,3252.3
6/10/2015,3048.62
7/10/2015,3247.55
8/10/2015,3230.23
9/10/2015,2797.71
10/10/2015,3041.4
11/10/2015,3072.11
12/10/2015,3699.38
13/10/2015,3597.68
14/10/2015,3278.73
15/10/2015,3207.47
16/10/2015,3021.94
17/10/2015,2996.49
18/10/2015,2989.96
19/10/2015,3024.61
20/10/2015,2993.68
21/10/2015,2990.49
22/10/2015,2617.24
23/10/2015,2817.39
24/10/2015,2991.59
25/10/2015,2775.18
26/10/2015,2883.82
27/10/2015,2809.53
28/10/2015,2877.85
29/10/2015,2735.55
30/10/2015,2676.06
31/10/2015,2511.22
1/11/2015,2537.53
2/11/2015,2779.9
3/11/2015,2634.4
4/11/2015,2789.73
5/11/2015,2840.35
6/11/2015,2729.66
7/11/2015,2699.34
8/11/2015,2732.45
9/11/2015,3005.88
10/11/2015,2670.03
11/11/2015,2001.27
12/11/2015,1741.78
13/11/2015,2219.68
14/11/2015,2374.77
15/11/2015,2280.96
16/11/2015,2686.7
17/11/2015,3019.26
18/11/2015,2852.23
19/11/2015,2873.08
20/11/2015,2819.99
21/11/2015,2708.36
22/11/2015,2653.84
23/11/2015,2950.99
24/11/2015,2911.94
25/11/2015,2746.42
26/11/2015,2942.23
27/11/2015,2942.53
28/11/2015,2714.26
29/11/2015,2557.22
30/11/2015,2615.97
1/12/2015,2354.84
2/12/2015,2699.85
3/12/2015,2699.77
4/12/2015,2470.39
5/12/2015,2518.67
6/12/2015,2192.56
7/12/2015,2226.34
8/12/2015,2406.58
9/12/2015,2324.4
10/12/2015,2441.52
11/12/2015,2134.34
12/12/2015,2533.47
13/12/2015,2219.99
14/12/2015,2635.24
15/12/2015,2758.62
16/12/2015,2521.23
17/12/2015,2823.66
18/12/2015,3124.47
19/12/2015,2989.97
20/12/2015,2627.61
21/12/2015,3120.55
22/12/2015,2969.6
23/12/2015,2978.1
24/12/2015,2667.39
25/12/2015,2590.86
26/12/2015,2610.86
27/12/2015,2209.99
28/12/2015,2380.63
29/12/2015,2300.04
30/12/2015,2301.84
31/12/2015,2469.32
1/1/2016,2400.26
